Frequency, Intensity
-5.000,4.587
-4.641,4.690
-4.282,4.633
-3.923,4.665
-3.564,4.704
-3.205,4.697
-2.846,4.813
-2.487,4.938
-2.128,5.085
-1.769,5.253
-1.410,5.526
-1.051,5.975
-0.692,6.452
-0.333,6.794
0.026,7.028
0.385,7.190
0.744,6.983
1.103,6.758
1.462,6.472
1.821,6.357
2.179,5.979
2.538,5.857
2.897,5.697
3.256,5.605
3.615,5.438
3.974,5.364
4.333,5.156
4.692,5.099
5.051,5.009
5.410,4.869
5.769,4.838
6.128,4.854
6.487,4.747
6.846,4.725
7.205,4.757
7.564,4.670
7.923,4.655
8.282,4.701
8.641,4.698
9.000,4.587
