# X, Y, Xerr, Yerr, Detection=1
13.715,6.709,7.743,0.402,1.000
15.272,-2.157,8.618,0.657,1.000
0.316,4.909,2.782,0.718,1.000
-4.637,1.359,3.942,0.231,1.000
-0.473,-0.744,14.622,0.699,1.000
7.116,-0.002,9.097,1.305,1.000
7.462,5.796,8.222,0.504,1.000
0.073,2.354,2.373,0.668,1.000
-10.214,-1.049,8.601,0.853,1.000
2.642,4.656,6.004,0.999,1.000
7.688,2.004,4.611,0.596,1.000
-1.022,1.310,4.442,1.034,1.000
0.729,1.104,3.058,0.455,1.000
10.836,5.709,5.961,1.993,1.000
5.965,4.337,4.401,0.452,1.000
30.906,7.100,15.937,0.639,0.000
4.191,4.417,5.053,0.536,1.000
19.813,7.100,2.618,1.346,0.000
-4.898,-4.298,2.543,2.564,1.000
3.408,4.513,3.961,1.526,1.000
-3.370,0.399,7.553,0.348,1.000
5.773,5.664,5.803,0.478,1.000
4.839,6.351,3.721,0.885,1.000
3.381,7.100,9.847,2.969,0.000
-14.394,-5.681,4.150,0.784,1.000
-12.139,-5.986,4.366,0.274,1.000
7.718,7.100,4.396,3.501,0.000
15.790,7.100,3.576,0.463,0.000
5.024,7.100,8.048,1.032,0.000
2.055,-2.151,2.802,1.091,1.000
9.470,4.360,1.876,0.886,1.000
0.694,-1.355,2.428,1.022,1.000
6.366,1.836,5.531,3.213,1.000
-1.214,-0.127,3.921,0.332,1.000
-0.843,2.590,3.697,0.518,1.000
-4.992,-0.661,21.012,0.468,1.000
10.553,6.172,4.072,0.407,1.000
3.241,3.951,7.186,0.645,1.000
-1.663,-0.882,2.395,0.400,1.000
8.771,7.100,2.075,1.349,0.000
12.108,6.496,5.982,0.519,1.000
-5.278,2.997,9.232,2.738,1.000
17.077,7.100,7.201,1.259,0.000
-4.994,-6.026,5.718,0.420,1.000
-55.669,-4.187,38.209,0.406,1.000
-17.005,-2.955,3.411,3.605,1.000
6.489,7.100,3.269,0.706,0.000
10.266,3.216,5.795,0.762,1.000
11.806,5.444,3.870,0.788,1.000
8.395,4.401,5.627,0.715,1.000
-3.044,0.233,3.179,0.674,1.000
71.737,3.440,25.806,0.955,1.000
7.518,7.100,4.829,2.534,0.000
1.101,2.311,1.365,0.492,1.000
4.320,7.100,4.540,1.203,0.000
13.417,6.435,4.422,1.096,1.000
-3.585,-1.422,8.076,1.863,1.000
6.715,4.751,2.974,0.721,1.000
7.417,5.872,16.370,0.936,1.000
-4.994,-0.767,1.849,0.632,1.000
12.405,6.367,5.767,0.238,1.000
10.822,7.100,1.090,0.631,0.000
13.210,7.100,5.990,0.375,0.000
4.762,7.100,10.254,0.430,0.000
17.064,7.100,2.467,1.262,0.000
-4.613,0.000,9.150,0.646,1.000
-5.533,-1.374,4.794,0.908,1.000
-0.969,0.730,4.766,1.105,1.000
3.041,0.156,5.560,0.399,1.000
10.206,7.100,3.893,0.766,0.000
-0.557,-0.338,4.649,0.781,1.000
9.340,5.916,4.990,0.431,1.000
-5.645,-3.780,1.272,0.457,1.000
-1.579,0.890,3.798,3.191,1.000
-3.688,-3.602,2.543,0.980,1.000
-3.421,0.455,5.258,2.033,1.000
7.862,7.100,2.219,0.715,0.000
3.044,4.990,3.679,0.386,1.000
2.568,-0.273,5.271,1.374,1.000
14.848,6.638,4.370,1.112,1.000
6.565,7.100,2.583,0.423,0.000
-4.174,1.618,2.439,0.505,1.000
-14.501,-9.994,3.316,0.890,1.000
8.931,6.460,1.747,0.207,1.000
0.736,5.034,5.338,1.860,1.000
32.567,7.100,20.836,0.223,0.000
-4.997,-2.481,3.383,0.557,1.000
2.704,1.857,8.676,1.227,1.000
13.145,7.100,3.901,0.412,0.000
9.963,5.633,5.734,0.252,1.000
12.147,7.100,1.433,0.833,0.000
4.955,4.949,6.964,0.990,1.000
14.186,7.100,7.266,1.255,0.000
13.881,3.877,6.275,2.610,1.000
0.053,2.780,4.801,1.980,1.000
9.321,7.100,3.494,0.369,0.000
-3.911,-3.506,2.936,1.443,1.000
-0.504,-0.233,8.141,0.525,1.000
-7.231,-4.750,3.482,0.944,1.000
2.482,2.492,1.473,0.197,1.000
-6.040,-1.942,6.451,0.361,1.000
5.372,7.100,5.437,0.422,0.000
-12.452,-2.166,8.268,0.694,1.000
1.470,3.007,10.126,0.584,1.000
39.782,-0.829,23.471,0.486,1.000
5.088,2.914,2.253,0.574,1.000
-0.510,1.081,9.924,1.172,1.000
1.728,-0.039,3.881,0.462,1.000
4.834,3.718,25.970,1.015,1.000
-3.567,-0.799,4.455,0.271,1.000
6.135,1.965,2.036,0.436,1.000
5.704,-0.787,3.035,2.078,1.000
6.326,6.668,3.085,0.611,1.000
9.032,6.750,2.002,1.052,1.000
-7.013,7.100,32.212,7.377,0.000
7.051,5.030,9.523,0.539,1.000
-6.368,5.293,8.007,1.623,1.000
-7.957,-2.186,7.267,4.394,1.000
19.076,7.100,13.814,0.716,0.000
26.326,6.275,8.749,0.562,1.000
4.511,-3.524,4.286,1.418,1.000
3.099,3.222,2.794,0.313,1.000
8.321,7.100,1.501,0.322,0.000
13.410,7.100,4.874,1.206,0.000
-11.525,-9.506,1.135,7.712,1.000
5.071,7.100,3.397,0.359,0.000
-1.063,0.528,4.984,0.200,1.000
11.250,4.325,7.214,1.106,1.000
4.209,4.881,3.703,0.923,1.000
-3.059,0.815,3.712,0.513,1.000
-4.255,3.435,8.674,0.600,1.000
3.025,7.100,9.346,0.479,0.000
13.432,7.100,2.801,0.611,0.000
0.720,7.100,14.517,0.642,0.000
39.729,7.100,10.036,0.307,0.000
3.321,-0.030,5.023,0.992,1.000
-7.816,7.100,7.380,0.420,0.000
10.014,7.100,4.367,1.095,0.000
4.494,-2.686,13.016,0.545,1.000
3.469,3.624,3.313,2.516,1.000
5.161,2.010,3.352,1.064,1.000
12.445,6.407,1.533,0.732,1.000
-15.338,-0.636,19.459,0.477,1.000
-6.938,-4.877,4.395,1.640,1.000
-10.493,1.951,3.642,1.045,1.000
-6.582,2.664,11.669,0.322,1.000
2.940,5.201,6.680,0.588,1.000
-0.617,0.960,6.470,0.722,1.000
-3.444,1.828,4.094,0.387,1.000
0.580,7.100,6.218,0.359,0.000
55.676,7.100,28.871,0.566,0.000
4.947,3.903,2.725,0.614,1.000
-13.380,1.410,4.676,0.387,1.000
2.079,0.578,2.860,1.805,1.000
1.912,1.869,2.233,0.802,1.000
2.757,-1.687,5.679,0.578,1.000
16.521,7.100,4.750,0.490,0.000
2.346,0.311,4.921,0.680,1.000
-0.770,2.526,5.785,0.535,1.000
9.347,7.100,11.297,1.293,0.000
14.508,7.100,4.894,0.958,0.000
-5.059,-3.620,2.214,1.994,1.000
32.110,7.100,10.849,1.308,0.000
8.423,7.100,2.502,1.117,0.000
10.218,7.100,1.983,0.263,0.000
1.865,4.014,4.260,0.769,1.000
15.363,7.100,2.865,0.612,0.000
6.908,2.689,3.568,1.431,1.000
-2.238,4.277,3.528,0.723,1.000
4.463,1.768,2.969,1.377,1.000
-3.982,-3.195,2.985,1.849,1.000
-3.116,1.712,5.315,0.818,1.000
-4.889,3.175,6.606,1.090,1.000
5.633,1.037,3.986,0.222,1.000
2.845,5.740,5.983,0.946,1.000
-26.591,-0.062,16.514,0.597,1.000
0.853,-2.512,7.112,1.251,1.000
2.457,3.770,4.255,0.571,1.000
-6.976,0.642,4.850,0.897,1.000
5.047,2.723,4.986,2.021,1.000
12.012,6.892,5.566,0.754,1.000
-0.729,1.304,2.047,0.974,1.000
11.680,5.027,4.060,1.711,1.000
6.465,7.100,2.576,0.481,0.000
3.285,4.155,5.198,0.635,1.000
3.199,5.382,2.503,0.706,1.000
10.385,6.423,3.302,0.468,1.000
9.775,7.100,6.224,2.308,0.000
13.427,5.890,20.046,0.696,1.000
11.940,1.051,3.645,1.109,1.000
8.990,2.966,5.797,0.671,1.000
54.362,7.100,15.721,0.489,0.000
11.311,7.100,5.567,1.245,0.000
-9.654,0.234,9.362,0.355,1.000
4.840,3.537,1.607,0.542,1.000
-12.000,0.396,3.852,0.288,1.000
21.229,7.100,8.859,0.320,0.000
-8.537,1.449,6.185,1.607,1.000
24.938,7.100,9.821,1.399,0.000
10.756,7.100,2.489,1.298,0.000
7.891,7.100,4.547,1.471,0.000
-2.451,3.185,5.246,1.492,1.000
-1.963,-2.986,21.620,0.475,1.000
9.705,2.744,6.656,0.690,1.000
-7.286,-3.714,6.416,0.610,1.000
7.105,3.233,2.824,1.821,1.000
11.679,6.808,2.611,0.942,1.000
2.725,1.812,2.491,0.948,1.000
-11.917,-3.350,5.880,0.779,1.000
-2.997,2.510,5.046,0.651,1.000
-6.244,3.027,5.118,0.673,1.000
10.671,7.100,2.712,0.433,0.000
15.868,-0.071,32.532,0.448,1.000
4.265,-0.071,4.646,0.757,1.000
11.750,6.184,9.468,2.356,1.000
4.909,6.394,12.047,1.776,1.000
18.997,7.100,2.067,0.779,0.000
11.109,7.025,2.605,0.523,1.000
21.746,7.100,3.387,0.819,0.000
2.339,-2.967,14.980,2.069,1.000
-4.156,-1.765,4.562,1.819,1.000
0.727,7.100,7.157,0.371,0.000
3.616,3.036,8.661,0.792,1.000
-9.325,-3.489,1.706,0.681,1.000
-6.358,-1.901,4.857,0.754,1.000
13.304,7.100,7.375,3.078,0.000
